type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,pc_timestamp
CSI_DATA,STA,20:6E:F1:85:57:D5,-49,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2879200967,0,110,0,0,2879.07,384,[0 0 0 0 0 0 0 0 0 0 0 0 -5 3 -6 3 -6 3 -6 3 -6 3 -7 3 -7 2 -8 2 -8 2 -8 2 -8 2 -9 2 -9 1 -9 1 -9 1 -8 1 -9 1 -8 1 -9 1 -8 2 -9 2 -9 2 -9 2 -10 2 -10 1 -11 1 0 0 -10 0 -9 0 -9 -1 -8 -1 -9 0 -8 0 -8 0 -8 1 -8 0 -8 1 -8 1 -8 1 -7 1 -8 1 -7 1 -7 1 -6 1 -7 2 -7 2 -6 2 -6 2 -6 3 -6 3 -7 4 -7 4 -8 4 0 0 0 0 0 0 0 0 0 0 ],1771738834.7971048
CSI_DATA,STA,20:6E:F1:85:57:D5,-49,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2879201138,0,110,0,0,2879.1,384,[0 0 0 0 0 0 0 0 0 0 0 0 -7 0 -7 -1 -7 -2 -7 -2 -7 -2 -8 -2 -7 -3 -8 -3 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 -5 -7 -5 -8 -5 -7 -5 -8 -4 -8 -4 -8 -4 -8 -5 -9 -4 -9 -5 -9 -5 -9 -6 0 0 -8 -7 -7 -6 -7 -7 -7 -6 -7 -5 -6 -5 -6 -5 -6 -5 -7 -5 -7 -4 -7 -4 -7 -4 -7 -4 -7 -4 -6 -4 -7 -4 -6 -3 -7 -3 -7 -3 -7 -2 -7 -2 -7 -2 -7 -1 -8 -1 -9 -1 -9 -1 0 0 0 0 0 0 0 0 0 0 ],1771738834.837271
CSI_DATA,STA,20:6E:F1:85:57:D5,-49,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2879201408,0,110,0,0,2879.14,384,[0 0 0 0 0 0 0 0 0 0 0 0 4 3 4 4 4 5 3 5 3 5 3 5 3 6 3 6 3 6 3 7 3 7 3 7 2 7 2 7 2 7 2 7 2 7 2 7 2 7 3 7 3 7 3 8 3 8 3 8 3 9 3 9 0 0 2 9 1 9 1 8 1 7 1 7 1 7 1 7 2 6 2 6 2 6 2 6 2 6 2 6 2 6 2 6 2 5 2 5 3 5 3 5 3 5 4 4 4 5 4 4 5 5 5 5 6 5 0 0 0 0 0 0 0 0 0 0 ],1771738834.8684978
CSI_DATA,STA,20:6E:F1:85:57:D5,-48,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2879202406,0,110,0,0,2879.17,384,[0 0 0 0 0 0 0 0 0 0 0 0 5 -2 6 -2 6 -2 6 -1 6 -1 7 -1 7 0 7 0 7 0 7 0 8 0 8 0 8 0 8 1 8 1 8 1 7 1 7 1 7 1 8 1 8 0 8 1 9 0 9 0 9 1 9 1 0 0 9 2 8 3 8 3 7 2 7 2 7 2 7 1 7 1 7 1 7 0 7 0 7 0 7 0 6 0 6 0 6 0 6 0 6 -1 6 -1 6 -1 6 -2 6 -2 6 -3 6 -3 7 -3 8 -4 0 0 0 0 0 0 0 0 0 0 ],1771738834.901076
CSI_DATA,STA,20:6E:F1:85:57:D5,-50,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2879202670,0,110,0,0,2879.21,384,[0 0 0 0 0 0 0 0 0 0 0 0 -5 -4 -5 -4 -5 -5 -5 -5 -5 -5 -5 -6 -5 -6 -5 -6 -5 -7 -5 -7 -5 -7 -5 -7 -5 -8 -5 -8 -4 -8 -4 -8 -5 -8 -4 -7 -5 -8 -5 -7 -5 -7 -5 -8 -6 -8 -6 -8 -5 -9 -5 -9 0 0 -4 -10 -4 -9 -3 -9 -4 -8 -3 -8 -4 -7 -4 -7 -4 -7 -4 -7 -4 -6 -5 -6 -4 -6 -4 -6 -4 -6 -4 -6 -5 -6 -4 -5 -5 -5 -5 -5 -5 -5 -6 -4 -6 -4 -6 -4 -7 -4 -8 -4 -8 -5 0 0 0 0 0 0 0 0 0 0 ],1771738834.941298
CSI_DATA,STA,20:6E:F1:85:57:D5,-50,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2879560708,0,110,0,0,2879.26,384,[0 0 0 0 0 0 0 0 0 0 0 0 -4 2 -5 2 -5 2 -5 2 -6 2 -6 2 -6 1 -6 1 -6 1 -6 2 -7 1 -7 1 -7 1 -7 1 -7 1 -7 0 -7 0 -6 1 -7 1 -7 1 -7 2 -7 1 -7 2 -8 2 -8 1 -8 1 0 0 -8 0 -7 -1 -7 -1 -6 -1 -6 0 -6 0 -6 0 -5 0 -5 0 -5 1 -5 1 -6 1 -5 1 -5 1 -5 0 -5 0 -5 1 -4 1 -5 1 -4 1 -4 1 -4 1 -4 2 -4 2 -4 3 -5 3 0 0 0 0 0 0 0 0 0 0 ],1771738834.9789062
CSI_DATA,STA,20:6E:F1:85:57:D5,-50,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2879562507,0,110,0,0,2879.28,384,[0 0 0 0 0 0 0 0 0 0 0 0 4 -3 5 -3 4 -3 5 -3 5 -3 6 -3 6 -3 6 -3 6 -2 6 -3 7 -3 7 -2 7 -3 7 -2 7 -2 6 -2 7 -2 6 -2 7 -3 6 -3 7 -3 7 -3 7 -3 8 -4 8 -3 8 -3 0 0 8 -1 7 -1 7 -1 6 -1 6 -1 5 -1 5 -2 5 -2 5 -2 4 -2 5 -2 5 -2 5 -2 4 -2 4 -1 4 -2 4 -2 4 -2 3 -2 3 -2 3 -3 3 -3 3 -3 3 -4 3 -5 4 -5 0 0 0 0 0 0 0 0 0 0 ],1771738835.0145721
CSI_DATA,STA,20:6E:F1:85:57:D5,-50,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2879563670,0,110,0,0,2879.32,384,[0 0 0 0 0 0 0 0 0 0 0 0 5 0 5 1 5 1 5 1 5 1 5 2 5 2 5 2 5 2 5 2 6 3 6 3 6 3 6 3 5 3 5 3 5 3 5 3 5 2 5 3 6 2 6 3 6 3 6 3 6 3 6 4 0 0 5 5 5 4 4 4 4 4 4 3 4 3 4 3 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 2 4 1 4 1 4 1 4 1 4 1 4 1 4 0 4 0 5 0 6 0 0 0 0 0 0 0 0 0 0 0 ],1771738835.046707
CSI_DATA,STA,20:6E:F1:85:57:D5,-50,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2879566457,0,110,0,0,2879.35,384,[0 0 0 0 0 0 0 0 0 0 0 0 -5 -3 -5 -3 -5 -3 -5 -4 -5 -4 -5 -4 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -5 -6 -4 -5 -5 -5 -5 -5 -5 -5 -6 -5 -6 -5 -6 -5 -6 -6 -6 -6 -6 -6 0 0 -4 -7 -4 -6 -4 -6 -4 -5 -4 -5 -4 -5 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -3 -4 -3 -4 -4 -4 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -2 -4 -2 -5 -2 -5 -2 -6 -2 0 0 0 0 0 0 0 0 0 0 ],1771738835.086627
CSI_DATA,STA,20:6E:F1:85:57:D5,-50,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2879568876,0,110,0,0,2879.39,384,[0 0 0 0 0 0 0 0 0 0 0 0 5 -1 5 -1 5 -1 5 -1 6 -1 6 0 6 0 6 0 7 0 7 0 7 1 7 1 7 1 7 1 7 1 7 1 6 1 6 0 6 0 7 0 7 0 8 0 8 0 8 0 8 1 8 1 0 0 7 2 7 2 6 2 6 2 5 1 5 1 5 1 5 0 5 0 5 0 5 0 5 0 5 0 4 0 4 0 4 0 4 0 4 0 4 -1 4 -1 4 -1 4 -1 4 -2 4 -2 5 -2 5 -2 0 0 0 0 0 0 0 0 0 0 ],1771738835.119265
